181.3.249.130 - - [10/Oct/2015:08:15:38 ] "GET /Store/cart.jsp?productID=1305 HTTP/1.0" 200 2248 "http://facebook.com/" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
154.14.161.138 - - [10/Oct/2015:08:16:13 ] "GET /Dior HTTP/1.0" 200 4366 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
179.203.132.160 - - [10/Oct/2015:08:19:33 ] "GET /Gucci HTTP/1.0" 200 4585 "-" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
20.149.200.80 - - [10/Oct/2015:08:21:18 ] "GET /YSL HTTP/1.0" 200 3336 "http://www.google.com" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
173.216.153.220 - - [10/Oct/2015:08:22:50 ] "GET /Revlon HTTP/1.0" 200 4678 "http://www.google.com" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
173.216.153.220 - - [10/Oct/2015:08:24:01 ] "GET /HugoBoss HTTP/1.0" 200 4485 "http://www.google.com" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
179.203.132.160 - - [10/Oct/2015:08:26:42 ] "GET /Revlon HTTP/1.0" 200 3748 "http://facebook.com/" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
179.203.132.160 - - [10/Oct/2015:08:28:39 ] "GET /Revlon HTTP/1.0" 200 3655 "http://instagram.com" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
181.3.249.130 - - [10/Oct/2015:08:30:34 ] "GET /YSL HTTP/1.0" 200 2639 "http://facebook.com/" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
179.203.132.160 - - [10/Oct/2015:08:31:29 ] "GET /Chanel HTTP/1.0" 200 3332 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
129.205.99.233 - - [10/Oct/2015:08:36:08 ] "GET /Dior HTTP/1.0" 200 3545 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
154.14.161.138 - - [10/Oct/2015:08:36:57 ] "GET /YSL HTTP/1.0" 200 3490 "http://twitter.com" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
62.112.34.46 - - [10/Oct/2015:08:40:15 ] "GET /HugoBoss HTTP/1.0" 200 2882 "-" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
62.112.34.46 - - [10/Oct/2015:08:43:24 ] "GET /Bvlgari HTTP/1.0" 200 2570 "-" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
137.89.53.3 - - [10/Oct/2015:08:44:15 ] "GET /Gucci HTTP/1.0" 200 2379 "-" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
137.89.53.3 - - [10/Oct/2015:08:48:50 ] "GET /Dior HTTP/1.0" 200 3689 "http://instagram.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
72.183.126.71 - - [10/Oct/2015:08:49:39 ] "GET /Chanel HTTP/1.0" 200 4749 "http://instagram.com" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
72.183.126.71 - - [10/Oct/2015:08:51:21 ] "GET /Prada HTTP/1.0" 200 3059 "http://twitter.com" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
173.216.153.220 - - [10/Oct/2015:08:53:49 ] "GET /Dior HTTP/1.0" 200 2689 "http://www.google.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
72.183.126.71 - - [10/Oct/2015:08:54:20 ] "GET /Dior HTTP/1.0" 200 3553 "http://facebook.com/" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
137.89.53.3 - - [10/Oct/2015:08:54:52 ] "GET /Store/cart.jsp?productID=1012 HTTP/1.0" 200 4925 "http://twitter.com" "Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
148.12.180.110 - - [10/Oct/2015:08:57:57 ] "GET /YSL HTTP/1.0" 200 4664 "http://facebook.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
137.89.53.3 - - [10/Oct/2015:09:00:20 ] "GET /Prada HTTP/1.0" 200 2790 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
20.149.200.80 - - [10/Oct/2015:09:01:02 ] "GET /CalvinKlein HTTP/1.0" 200 3559 "-" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
20.149.200.80 - - [10/Oct/2015:09:02:42 ] "GET /Bvlgari HTTP/1.0" 200 3843 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
181.3.249.130 - - [10/Oct/2015:09:05:04 ] "GET /Bvlgari HTTP/1.0" 200 3055 "http://instagram.com" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
181.3.249.130 - - [10/Oct/2015:09:08:55 ] "GET /YSL HTTP/1.0" 200 3617 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
72.183.126.71 - - [10/Oct/2015:09:09:51 ] "GET /Gucci HTTP/1.0" 200 2173 "http://instagram.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
148.12.180.110 - - [10/Oct/2015:09:12:52 ] "GET /Revlon HTTP/1.0" 200 4377 "http://www.google.com" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
137.89.53.3 - - [10/Oct/2015:09:13:32 ] "GET /Dior HTTP/1.0" 200 2170 "http://twitter.com" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
129.205.99.233 - - [10/Oct/2015:09:15:20 ] "GET /Gucci HTTP/1.0" 200 2328 "http://www.google.com" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
179.203.132.160 - - [10/Oct/2015:09:17:45 ] "GET /Revlon HTTP/1.0" 200 3432 "http://facebook.com/" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
181.3.249.130 - - [10/Oct/2015:09:21:29 ] "GET /Gucci HTTP/1.0" 200 2497 "http://www.google.com" "Mozilla/5.0 (Windows; U; Windows NT 6.1; rv:2.2) Gecko/20110201"
179.203.132.160 - - [10/Oct/2015:09:23:47 ] "GET /Givency HTTP/1.0" 200 4915 "http://facebook.com/" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
137.89.53.3 - - [10/Oct/2015:09:25:04 ] "GET /Chanel HTTP/1.0" 200 3159 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))"
137.89.53.3 - - [10/Oct/2015:09:29:56 ] "GET /HugoBoss HTTP/1.0" 200 4785 "-" "Mozilla/5.0 (iPad; CPU OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5355d Safari/8536.25"
181.3.249.130 - - [10/Oct/2015:09:30:38 ] "GET /Gucci HTTP/1.0" 200 3113 "http://www.google.com" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
20.149.200.80 - - [10/Oct/2015:09:32:27 ] "GET /CalvinKlein HTTP/1.0" 200 4735 "http://twitter.com" "Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0"
20.149.200.80 - - [10/Oct/2015:09:36:57 ] "GET /Givency HTTP/1.0" 200 2936 "-" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
181.3.249.130 - - [10/Oct/2015:09:38:08 ] "GET /HugoBoss HTTP/1.0" 200 3867 "http://instagram.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)"
